,dropped_frames_mean,dropped_frames_std,dropped_frames_amax,fps_mean,fps_std,bitrate_mean,bitrate_std,rtt_mean,rtt_std,timestamp_ptp
4087,0.5701754385964912,4.278764897020584,34.0,27.412280701754387,4.281527586729474,6009.201754385965,4779.734686902351,15.24561403508772,3.4297516728765514,0 days 00:19:10
4088,0.0,0.0,0.0,28.95736434108527,2.223262086996491,7575.990310077519,4440.3127055739415,9.981589147286822,3.711289065988705,0 days 01:27:30
4089,0.0,0.0,0.0,29.576834862385322,1.6399530044552346,9290.045298165138,3063.8301787113573,12.619839449541285,3.5833613033141636,0 days 02:25:15
4090,0.3836477987421384,4.8376146728806795,61.0,29.144654088050313,2.9442853423294344,1561.377358490566,892.8517296447866,163.42767295597486,150.21893133232751,0 days 00:13:10
4091,0.0,0.0,0.0,41.83282674772037,13.60525874288122,9350.826747720364,10046.159037152964,278.05775075987845,671.4841041621808,0 days 00:27:20
4092,0.0,0.0,0.0,30.0,0.0,8662.0,0.0,37.0,0.0,0 days 00:07:35
4093,4.729651162790698,19.39040801298487,105.0,27.712209302325583,8.402503569876005,5758.2441860465115,5661.189659943862,253.2674418604651,380.48722560608195,0 days 00:28:35
4094,2.182509505703422,12.636920272902254,97.0,38.851711026615966,13.936773358326757,6896.140684410647,6300.819647333509,169.90114068441065,286.0773358690452,0 days 00:21:50
4095,1.1750841750841752,7.194620873637372,50.0,27.682379349046016,4.861117612720012,1053.2547699214365,1401.8876372159452,45.258136924803594,11.323666600933448,0 days 01:14:10
4096,0.0,0.0,0.0,29.575757575757574,1.5059891188777328,2538.348484848485,1133.0617928363529,53.70075757575758,81.41779216825506,0 days 00:22:10
4097,0.8197596795727636,7.239658635696871,121.0,28.31909212283044,4.21557098704904,1893.580774365821,1686.4125485503105,50.07877169559413,69.76243446626825,0 days 01:02:30
4098,0.0,0.0,0.0,19.0,0.0,464.0,0.0,44.0,0.0,0 days 00:03:50
4099,0.0,0.0,0.0,27.581151832460733,3.052602122604719,3959.5549738219897,2569.987721835071,1660.0261780104713,6448.922735362824,0 days 00:16:40
4100,0.4358974358974359,4.30771826962457,46.0,25.93846153846154,3.61786912455095,4734.246153846154,1909.2477929729928,373.65641025641025,43.66448812398685,0 days 00:16:10
4101,0.4577259475218659,4.486867460588307,63.0,28.472303206997086,4.267888695771317,7739.597667638484,3056.219574755284,383.36443148688045,37.9399127146562,0 days 00:28:30
4102,0.9566563467492261,7.37618149055022,65.0,26.043343653250773,4.256304490481991,5216.597523219814,2078.7334606058303,346.5386996904025,21.675634362389914,0 days 00:26:50
4103,0.422680412371134,4.196803746910338,47.0,26.7319587628866,3.339248353006636,5103.030927835051,2145.137303496441,361.1082474226804,15.782315610572775,0 days 00:16:05
4104,0.3246231155778894,5.62941279925847,149.0,28.67738693467337,4.485998921530632,983.2633165829146,492.12462332252557,105.45829145728644,446.0508121066268,0 days 01:22:50
4105,3.022421524663677,15.4342225746097,111.0,48.44394618834081,13.436166074242522,14766.881165919283,6590.209793032676,17.890134529147982,4.772019710425841,0 days 00:37:05
4106,0.0,0.0,0.0,27.660377358490567,1.9611718735463244,2052.0330188679245,2613.949617112067,200.52358490566039,31.775492216029598,0 days 00:17:40
4107,0.6636363636363637,5.10264083260386,48.0,28.236363636363638,4.939132517651325,8228.047727272728,6482.361688925884,29.313636363636363,19.30410735513633,0 days 00:36:35
4108,0.0,0.0,0.0,26.187643020594965,4.578222600988294,5379.810068649886,4101.904035741268,59.63386727688787,244.34936739388058,0 days 00:36:50
4109,0.9471947194719472,6.661138094382586,64.0,26.013201320132012,4.824506036366872,2905.0148514851485,3353.789495226476,86.7112211221122,190.3925239160785,0 days 00:50:55
4110,0.10161480897991335,2.006862083280606,62.0,29.68727845608507,1.963386202426428,9736.345411579361,1608.8449098902017,33.24379677038204,2.6595716636065196,0 days 03:32:25
4111,0.49373433583959897,4.149751562412831,48.0,28.979949874686717,3.5803201616325735,9192.49373433584,2603.7904780538424,33.49874686716792,7.771509197680467,0 days 00:35:55
4112,0.32038834951456313,3.23988592221588,34.0,29.576051779935273,3.111365052516523,9278.794498381878,2325.6569350922737,34.35436893203884,13.429532347265923,0 days 00:54:25
4113,0.13109128345916266,2.5338317372249084,76.0,29.61633493479753,1.9897628159069132,9504.564172958133,2255.783910223258,34.711736444749484,3.8718242309725075,0 days 02:03:20
4114,1.632047477744807,13.92967143637298,204.0,52.86300692383779,10.066357098473839,12978.92037586548,8116.514490811624,221.88724035608308,59.182716305965464,0 days 02:54:40
