client_user_id,session_id,dropped_frames,FPS,bitrate,RTT,timestamp,device
16ff4d06-fd0a-4ed5-933a-8d82bac69029,6b374e7e-c22d-4ce8-9c1f-5dc04f3c33cd,0.0,29.0,21061.0,30.0,2022-09-02 02:50:20,Windows
16ff4d06-fd0a-4ed5-933a-8d82bac69029,6b374e7e-c22d-4ce8-9c1f-5dc04f3c33cd,0.0,30.0,18555.0,30.0,2022-09-02 02:50:25,Windows
16ff4d06-fd0a-4ed5-933a-8d82bac69029,6b374e7e-c22d-4ce8-9c1f-5dc04f3c33cd,0.0,30.0,17673.0,31.0,2022-09-02 02:50:30,Windows
16ff4d06-fd0a-4ed5-933a-8d82bac69029,6b374e7e-c22d-4ce8-9c1f-5dc04f3c33cd,59.0,1.0,12874.0,30.0,2022-09-02 02:50:35,Windows
16ff4d06-fd0a-4ed5-933a-8d82bac69029,6b374e7e-c22d-4ce8-9c1f-5dc04f3c33cd,0.0,30.0,13367.0,31.0,2022-09-02 02:50:40,Windows
16ff4d06-fd0a-4ed5-933a-8d82bac69029,6b374e7e-c22d-4ce8-9c1f-5dc04f3c33cd,0.0,30.0,13366.0,30.0,2022-09-02 02:50:45,Windows
16ff4d06-fd0a-4ed5-933a-8d82bac69029,6b374e7e-c22d-4ce8-9c1f-5dc04f3c33cd,0.0,30.0,20503.0,30.0,2022-09-02 02:50:50,Windows
16ff4d06-fd0a-4ed5-933a-8d82bac69029,6b374e7e-c22d-4ce8-9c1f-5dc04f3c33cd,0.0,31.0,12243.0,33.0,2022-09-02 02:50:55,Windows
16ff4d06-fd0a-4ed5-933a-8d82bac69029,6b374e7e-c22d-4ce8-9c1f-5dc04f3c33cd,0.0,30.0,882.0,31.0,2022-09-02 02:51:00,Windows
16ff4d06-fd0a-4ed5-933a-8d82bac69029,6b374e7e-c22d-4ce8-9c1f-5dc04f3c33cd,0.0,29.0,3769.0,30.0,2022-09-02 02:51:05,Windows
16ff4d06-fd0a-4ed5-933a-8d82bac69029,6b374e7e-c22d-4ce8-9c1f-5dc04f3c33cd,0.0,28.0,724.0,32.0,2022-09-02 02:51:10,Windows
16ff4d06-fd0a-4ed5-933a-8d82bac69029,6b374e7e-c22d-4ce8-9c1f-5dc04f3c33cd,0.0,27.0,724.0,30.0,2022-09-02 02:51:15,Windows
16ff4d06-fd0a-4ed5-933a-8d82bac69029,6b374e7e-c22d-4ce8-9c1f-5dc04f3c33cd,0.0,30.0,7147.0,30.0,2022-09-02 02:51:20,Windows
16ff4d06-fd0a-4ed5-933a-8d82bac69029,6b374e7e-c22d-4ce8-9c1f-5dc04f3c33cd,0.0,27.0,4845.0,30.0,2022-09-02 02:51:25,Windows
